Site Name,Services,Cost,Latitude,Longitude,Site Type,Comments
,Fresh WaterTrashToilets,€0.00,48.978922,20.791723,Mixed Parking & Services,Small village parking area idea for visiting Zehra's church. Toilets and fresh water
,,€0.00,48.755733,21.194962,Wild,Gravel parking area.
Spis Castle,,€0.00,48.998548,20.771153,Mixed Parking,Castle car park with nice views over the coutryside
,,€0.00,49.187728,20.292559,Mixed Parking,Parking area next to road with access to walks in the area.
,,€0.00,49.166985,20.283657,Mixed Parking,Parking behind restaurant.
,,€0.00,49.167595,20.270331,Mixed Parking,Car park to cable car / walk. Parking fee free all day when we stayed in September 2016
Eurocamp,,€0.00,49.158116,20.310591,Campsite,"Didn't stop but looks spacious and clean, large grassy areas."
,,€0.00,49.082495,20.427178,Mixed Parking,Thermal park. Spa and pools
,,€0.00,45.653934,14.01213,Mixed Parking,Small Cemetary carpark which is near the caves.  Great views down the hill and valley towards Skoflje.  No services but excellent place for protection against windy weather.
,TrashToilets,€0.00,45.662621,13.988333,Mixed Parking,Park Skocjanske Caves.  Parking during the day but motorhomes restricted overnight.  Two tiered carpark plus large park for coaches. 
,,€0.00,45.914464,14.22838,Wild,Small loose gravel parking space in centre of village and opposite cemetery. 
,Fresh WaterTrash,€0.00,46.023626,14.406842,Mixed Parking,"Nice level car park just off the main road, quiet and clean. Water available from in front on the cematary."
,Trash,€0.00,46.039668,14.478232,Mixed Parking,Large retail car park.  Flat and tarmac and off main road.  3km in to city centre. Quiet at night
,,€0.00,46.167812,14.325507,Mixed Parking,"Beautiful location right in the middle of the countryside with stunning views over to the hills.  Parking at side of church, which is flat and clean under foot."
,Trash,€0.25,46.170285,14.302199,Mixed Parking,"Sports centre car park just 5 minutes to village and old town.  0.25 per hour between 7 and 17.  Tarmac and flat just off main road.  Busy car park, so not idea for sleeping."
,,€0.00,46.371803,14.114306,Mixed Parking,Car park in middle of green fields and countryside.  One section tarmac and one loose gravel.  Quiet and 1km to town centre. It will become apayed car park eventually.
,Fresh Water,€0.00,46.373658,14.105936,Mixed Parking,"Small parking bay at church cemetery, fresh water tap.  "
,Trash,€0.00,46.273471,13.935363,Mixed Parking,Small parking space at side of picnic area.  No restrictions on overnight parking.
Kamp Siber,Fresh WaterGrey WaterBlack WaterTrashToiletsShowersElectricWi-Fi,€7.63,46.180313,13.738178,Campsite,"Small family run campsite.  Simple and basic but friendly.  Turned up unexpected but no issue.  No one else on campsite due to time of year and to be fair, we not sure they would normally be open.  Very quite at night€7 per person plus €0.63 tax per day. No charge for camper. Electricity €2 per day."
,Trash,€0.00,46.316276,13.494364,Mixed Parking,Hotel and adventure car park.  Overlooks river and Mountains. 
,Fresh WaterGrey WaterBlack WaterTrashElectric,€3.00,46.332994,13.539361,Rest Area & Services,"Great aire in stunning location.  €3 for 24 hours parking or if you want electric €3, €6, €9, €12 for 1, 12, 24 or 36 hours.  Flat, tarmac and off main road"
,,€0.00,46.475623,13.783062,Mixed Parking,"Parking area next to the lake, stunning views."
,,€0.00,36.933645,-3.283436,Wild,Middle of the valleys with great 360 views.  Only a couple of km to Trevelez.  Loose gravel but level.  no services
,,€0.00,36.72288,-3.532447,Mixed Parking,"Flat, level tarmac just tucked behind Marina and straight on the beach.  Beach is dark shingle."
,,€0.00,36.75048,-3.882799,Wild,"Wild camping in any resort is challenging but this spot is quiet good.  Only a small piece of land, so not loads of traffic but only 1.5km to beach and stroll away from Lidl and petrol station.  Hard, flat, level surface."
Playa Playaza,,€0.00,36.742996,-3.889626,Mixed Parking,"Municipal parking that does not allow tents.  Big piece of land straight on to the beach with local shops only a few minutes walk.  Gravel and grass ground but flat. Water available from near by beach showers and tap, also toilets a few hundred meters away. There are three areas to park off the beach but access to the road is height restricted at the west end but not the east side."
,,€0.00,37.099333,-2.12677,Mixed Parking,"Tarmac car park on the edge of town, local amenities within 2 minutes, swimming pool and sports facilities also 2 minutes away. Pleasant simple town."
,TrashFresh Water,€0.00,36.779776,-2.241499,Mixed Parking,Lose gravel surface on the end of town but right on the beach.  A few small trees that provide a little shade from the sun but mainly open ground.  The town has a few bars and cafes on the promenade and a few small corner shops selling basic amenities.  
,Fresh WaterGrey WaterBlack Water,€0.00,37.021484,-4.571867,Rest Area & Services,"Great aire just on the outskirts of town.  Flat, level, Tarmac.  Room for 6 Motorhomes but if full, plenty parking on the side streets.  Free water and facilities."
,,€0.00,36.953479,-4.544121,Mixed Parking,"Flat, concrete car park at the entrance to the national park visitors centre.  Clean but no facilities.  Excellent for birds, weasel, fox and dear.  The centre do not mind overnight, if out of season.  "
,,€0.00,36.957596,-4.537471,Mixed Parking,"An alternative to parking on the visitors centre is a small lay by overlooking the road up to the pinnacle.  Hard, flat surface but will need chocks to get level.  Plenty room for Motorhome and very quiet.  No services."
,,€0.00,36.962816,-4.513871,Mixed Parking,Hard surface car park at bottom of El Torcal with plenty of parking spaces for Motorhomes.
,Fresh WaterGrey WaterTrash,€0.00,36.863809,-4.157841,Mixed Parking,"Recreational area at the side of the lake.  Hard, loose stoney surface.  Dusty and dry.  Recreational area includes bbq, benches, water and mini golf as well as walks around lake with plenty wild flowers.  "
,Fresh WaterTrash,€0.00,36.995891,-3.884742,Mixed Parking,Good spot for stopping on route to Granada.  The lakeside is dotted with lots of uneven and loose gravel roads.  Plenty places to pull in and hide amongst trees with stunning views over lake.  
,,€0.00,37.14678,-3.601022,Wild,"Hard, flat surface and located on outskirts of town.  4 kilometres to Alhambra and 2 kilometres to centre. Alhambra is very expensive to park with no overnight parking and street parking is very limited."
,,€0.00,36.91537,-3.53767,Mixed Parking,Parking on edge of lake.  Nice walks around dam with Sierra Nevada in background.  
,Fresh WaterGrey WaterTrash,€0.00,36.912806,-3.476539,Wild,"Loose gravel surface but flat.  At the side of a small recreational area with about 3 picnic tables.  Located on the hillside adjacent to the town of Lanjaron, so excellent views of the village and cultivated terraces.  if you look up through the valleys you can see snow peaks tucked just behind the hillside.  Natural spring water about 1 km back in village."
,,€0.00,36.914654,-3.428358,Wild,"Small lay by on hillside above Orgiva.  Hard, gravel surface but on slight incline.  Excellent view over Orgiva and surrounding mountains.  Little cave provides interesting walk.  "
,,€0.00,36.939426,-3.361783,Mixed Parking,"Flat, clean, Tarmac car park for coaches.  To the side is a car park for cars but gets busy during weekend.  Small mercado in town and fresh running water tap."
,Fresh WaterGrey WaterTrash,€0.00,36.960795,-3.35608,Mixed Parking,"Street parking on the far side of the village.  Flat tarmac but the road is on a gentle slope, so you will need chocs out to level the Motorhome.  The town has ample drinking water and there are plenty grids to empty grey water.  Lovely views both up to the snow capped peak and then down to the valley floor.  "
,,€0.00,37.131777,-6.489838,Mixed Parking,"The town of El Rocío sits on the edge of the Donana National Park and from here you can see many variety of birds including flamingo and heron.  The town doesn't have any Tarmac, so all roads are sand/ dust.  Plenty free parking space around the town with good views of the wet land.  in town there are lots of fresh water taps and public toilets.  "
,,€0.00,36.695046,-6.138447,Mixed Parking,Large free Carpark that tolerates overnight camping.  Flat concert surface.  Located next to primary school and block of apartments but within easy walking distance of the town.  Just around the corner is the Jerez horse training academy.
Playa Higuérica,Trash,€0.00,37.380072,-1.627492,Wild,Undeveloped beach cove.  Hard sand surface set in little coastal gardens with larger parking area towards the beach.  Small cafe and petrol station a few miles down the road with toilet and water facilities. 
,Trash,€0.00,37.402633,-1.578751,Mixed Parking,"Carpark on the harbour side, very clean and right next to all the towns amenities, nice town with nice beaches. Also Carpark on the opposite side of the harbour."
Playa Bolnuevo,,€0.00,37.563851,-1.313374,Mixed Parking,"Large, flat car park facing the breach.  Just off the main road that runs though the town.  The town has number of supermarkets and services, all within easy walking distance.  "
,,€0.00,37.576852,-1.224615,Wild,"This stretch of coastline enforces no camping, so difficult to wild camp.  This spare land is the best we spot we could find.  Loose gravel surface but flat and over looking the surfers cove."
Playa de la Azohia,Fresh WaterTrashToiletsShowers,€0.00,37.553088,-1.170183,Mixed Parking,Small level car park right on the beach front.  To the left a small pebble beach and pier where the fishermen bring in their daily catch.  A small stroll to the right and you will find many sandy coves.  There are portaloos and beach showers dotted along this stretch of beach.  Small spar and selection of bars.
Casa Cortina ,Trash,€0.00,37.581903,-0.975551,Mixed Parking,Excellent location just outside Cartagena.  Tarmac car park with level places overlooking beautiful bay and fort.  
,,€0.00,37.752372,-0.842534,Mixed Parking,On street parking.  Tarmac and flat.  Straight on to beach with restaurants and shops close by.
,RubbishShops,€0.00,42.275905,-3.899362,Mixed Parking,"Just of the main road with lots of parking throughout the town, popular with truckers. Very quiet at night apart from the dogs barking in the area."
,,€0.00,40.95757,-5.67615,Mixed Parking,"Parking in front of Lidl on a large car park, parking also available on the left hand side of the bridge facing you. Both sites close to main road so a little noisy throughout the day but not at night,"
,Fresh WaterGrey WaterBlack WaterRubbish,€0.00,39.48066,-6.36656,Mixed Parking,"Aire located next to a school but very close to the old town centre, the site holds about 15 motorhomes providing full services. Very quite location."
,Rubbish,€0.00,43.32502,-1.9926,Mixed Parking,"Car park located on the sea front, no facilities but a great view, Parking charges apply."
,Rubbish,€0.00,38.42672,-6.41037,Mixed Parking,"Large parking area next to local police station, 5 minutes into the town centre but no facilities."
,,€0.00,37.39578,-6.00711,Mixed Parking,Car park located on the other side of the river to the city centre but only a 20 minute walk to the centre and sights. Tolerates overnight camping and reasonably quiet.  Car park holds many vehicles but soon fills up especially during weekends and holidays.  Car park is free but often several entrepreneurial attendants seeking the odd euro for guiding you in to a parking space.
,,€0.00,38.261655,-0.6857,Wild,Concrete and lose stone surface at the side of the road.  
,,€0.00,38.351596,-0.467742,Wild,Excellent location for both the beach and visiting the city.  Access is awkward as you need to turn under the fly over but this is height restricted.  Go passed the fly over and take the right turn at the no entry point.  
,,€0.00,38.604581,-0.485264,Wild,"Flat, lose gravel,surface with spectacular views over Alicante and Benidorm and mountains."
,Fresh WaterTrash,€0.00,39.04395,-0.308186,Mixed Parking,Small Tarmac car park in front of the monastir.  Plenty waste bins and fresh water tap in children's park opposite. Also fresh water and waste water dumping at the back of the town
,ShowersTrash,€0.00,39.362843,-0.317843,Mixed Parking,Loose gravel car park straight behind the sand dunes and beach.  This stretch of land offers loads of parking with immediate access to the beach.
,,€0.00,39.454481,-0.380353,Mixed Parking,Flat spare land in residential area just outside Valencia.  Ideal for stopping during the day to visit the city.  
,Fresh WaterTrashShowersToilets,€0.00,39.596477,-0.269366,Wild,"Large stone parking straight on to the beach.  The beach is only narrow but very clean.  All along this stretch are wave breakers, which actually create mini bays.  The water on the beach is fresh and thenoccasional portaloo.  The beach has life guards.  "
,,€0.00,39.58776,-0.30294,Mixed Parking,Large car park next to Santa Maria monastery.  Locate facilities across the road and couple of supermarkets within walking distance. 
,,€0.00,40.113939,-0.052567,Wild,Loose gravel spare land surrounded by trees and bushes.  Just off Main Street and within walking distance of the caste.  
,Fresh WaterTrashShowers,€0.00,36.732471,-3.972751,Mixed Parking,Quite side street just a stones throw away from the beach.  very clean and level and the police don't seem to mind you staying here.  Supermarket just around the corner.  Plenty bars and restaurants with a wide variety of cuisines.  
,Fresh WaterTrash,€0.00,36.738057,-2.207641,Wild,"Perfect beach spot.  You can either park right at the side of the road overlooking the beach or on a small concrete car park.  The little village has a bar servicing food.  The road leads to a dead end, so no traffic and. dry quiet.  Beautiful white sand and turquoise waters.   "
Playa Genoveses,Trash,€0.00,36.745609,-2.124842,Mixed Parking,From San Jose take the road West.  The Tarmac turns in to a dusty and unsaved road for about 2km.  At the fork in the road take the left turn and big car park.
,Trash,€0.00,36.76781,-2.109768,Mixed Parking,On street car parking but very quiet and next to small supermarket.  Flat and clean and easy access to the beach.  Lots of options for street parking in and around San Jose but there are a few no camper signs too.  
,TrashFresh WaterShowers,€0.00,36.815573,-2.051062,Wild,"Excellent beach location situated on little headland overlooking two bays.  Fresh water and washing facilities in village.  Showers on the beach.  Hard, flat surface and very quiet.  "
,,€0.00,36.878773,-2.005943,Mixed Parking,"Flat, level concrete street parking.  Facing apartment block.  On the edge of the small village within easy walking distance of the beach and this town centre.  No immediate facilities."
,,€0.00,36.93941,-1.936379,Mixed Parking,"Large beach car park with solid, flat surface.  No facilities but the beach does offer showers and toilets during season.  "
,,€0.00,36.996361,-1.898693,Mixed Parking,"Tarmac road in the town centre near supermarket, quite road surrounded by residential properties. 2 minutes to beach and all other amenities."
,,€0.00,36.954625,-1.904553,Mixed Parking,"Stone parking area about 5km out of town, access to the nudist beach is 300m away, quite and views over the hills and cement factory."
,,€0.00,36.946973,-1.915214,Mixed Parking,"Beach front parking on small stones, right on the beach, cement factory at the rear and industrial port to one side, popular with locals but very quiet at night. Town centre about 3km away with all amenities."
,Fresh WaterTrash,€0.00,37.231452,-1.796745,Wild,Beach parking which is flat and reasonably level.  Straight on to the beach and no issues to park.  A couple of beach restaurants within walking distance.  
,,€0.00,36.450874,-6.216384,Mixed Parking,if you struggle to park in Cadiz then San Fernando is only a couple of kilometres across the water and much quieter with plenty of options for street parking.  
,,€0.00,36.460944,-5.728478,Wild,Small car park with broken surface.  Hillside town with not much to see but local supermarket and petrol station.  Good views over surrounding area.  
,,€0.00,36.559134,-5.601282,Wild,Nice little spot to stay over if you like peace and quiet in the hills.  fantastic views over surrounding countryside with little cafe at side of the road.  
,,€0.00,36.677045,-5.4506,Mixed Parking,"Parking space just outside of the town with great views over the hills and town.  Ubrique is hilly with small street, so difficult for Motorhomes to access, so keeping to outer road is safer.  This parking spot  is on a main road, flat, clean and very quiet in the evening but busy during the day.  "
,Fresh WaterGrey WaterTrash,€0.00,36.703645,-5.423457,Wild,"In the middle of Grazalema national park this little village looks nothing on first appearances but it quite charming.  Lovely calm atmosphere with fantastic views of the national park and surrounding mountains.   Parking in layby, which is flat concrete with wonderful views.  Fresh water tap, grid and bin nearby."
,Fresh WaterTrash,€0.00,36.696314,-5.383085,Mixed Parking,"Large Carpark with great views over the hills.  Flat, concrete surface.  Small but quaint town with local cheese factory."
,,€0.00,36.841862,-5.39184,Wild,Concrete lay-by on quiet tree lined road.  Great views overlooking the lake and surrounding countryside.  No immediate facilities. 
,,€0.00,42.566439,0.030701,Wild,Little lay by with big views.  Great for lunch or dinner but not necessarily for an overnight stop. 
,Trash,€0.00,42.414842,0.143828,Mixed Parking,Large car park at the side of the river.  Look up to the town and surrounding mountain peaks.  Nice and flat car park with great views 
,Fresh WaterGrey WaterTrash,€0.00,42.416061,0.141299,Mixed Parking,Small loose gravel car park just off main road and at side of river.  Fresh water from tap in playground just behind the car park.  Grid for grey waste.  Good views up to town and very quiet.  
Sierra y canines de Guara,Trash,€0.00,42.21974,0.045281,Mixed Parking,Loose gravel car park in middle of Guera national park.  Excellent views  down valley and rock face.
,,€0.00,42.16952,0.021411,Mixed Parking,Tiered level car park on the outskirts of the village. 
,Fresh WaterGrey WaterBlack WaterTrashToilets,€0.00,42.194808,0.397808,Mixed Parking,"Small car park next to bridge and river.  Little park area with fresh water, toilets, BBQ facility, picnic area etc.  great little spot."
,Trash,€0.00,42.291757,0.529622,Mixed Parking,Small Tarmac car park with excellent views over surrounding countryside.  Short stroll and you are in the small village.
,,€0.00,42.605375,0.766432,Wild,Loose gravel stop at the base of the lake and looking up in to mountains.   
,Fresh WaterToilets,€0.00,42.70585,0.902001,Mixed Parking,Large car park at the side of the river permitting Motorhomes for up to 3 days.
,,€0.00,42.673135,0.966154,Wild,Small lay by with stunning views. Ideal spot for a break half way up a snaking road.
,Trash,€0.00,42.653238,1.00017,Mixed Parking,Large loose gravel car park at the base of a ski lift.  No restrictions.
,Trash,€0.00,42.592781,1.132583,Wild,Small parking spot right beside the lake.  Good for day parking but restricted for Motorhomes between 8 and 8
,,€0.00,42.516871,1.195725,Wild,Patch of land at the side of the river and under trees.  Surrounded by hills and glorious countryside.  Perfect for a quite camping spot.  
,Fresh WaterGrey WaterBlack WaterTrashElectric,€0.00,42.359173,1.465392,Rest Area & Services,"Small aire right in the middle of the historical centre and next door to the parador.  Original space for around a 20 vans but now opened up to a large section which caters for around 100 vehicles.  Simple but well organised facility.  2 euros for 100 litres fresh water, free non drinking water. Electricity 1 euro for 2 hours with about 10 spaces."
,,€0.00,36.731107,-3.58556,Wild,"Clean and tidy little lay-by at the side of residential area.  The beach is located at the end of the street with toilet and water facilities to the right, although facilities only open at peak times.   "
,Trash,€0.00,36.740739,-3.595389,Wild,"Small piece of land right on the beach and just 5 minutes out of the town.   Tucked nicely in the middle of the farm land and allotments, so no passing traffic.  Solid, gravel surface with room for a dozen Motorhomes."
,,€0.00,36.710714,-2.819899,Mixed Parking,"No Motorhome parking permitted in any of the beach car parks.  This parking spot is in the middle of the villas, so nice and quiet and flat.  Good for one night."
Mini Holywood,,€0.00,37.020451,-2.433642,Mixed Parking,"Mini Hollywood car park, which is free to coaches and campers.  Flat, clean and right at the side of the entrance to the theme park.  "
,TrashFresh Water,€0.00,37.048413,-2.395125,Mixed Parking,"Public car park at side of sports arena.  Flat, clean Tarmac with no restrictions or notices.   Two fresh water taps and rubbish bins."
,Trash,€0.00,36.96607,-2.208328,Mixed Parking,Lose gravel car park with flat points at the top of the Nejar town.  Municipal parking with no restrictions.  Great views up to the natural park behind. 
,,€0.00,40.157949,0.088612,Wild,Excellent countryside views but no services
,ShowersTrash,€0.00,40.417328,0.435833,Wild,"Flat, loose gravel spare land right on the beach.  Easy walk to harbour and in to town.  "
,,€0.00,40.597945,-0.051174,Wild,Small layby just outside Morelia with fantastic views of countryside and the town of morella. 
,Fresh WaterBlack WaterGrey WaterTrash,€0.00,40.623894,-0.091715,Rest Area & Services,"Free aire in excellent location.  Just outside Morella so you get a fantastic view of the village and castle.  Flat surface with little garden separators. Good, effective services."
,TrashToilets,€0.00,40.623171,-0.101259,Mixed Parking,Morella is blessed with both an aire and village car park.  If you drive up to the castle wall there is ample parking which is flat and fantastic views around countryside and up to the castle.  Just before you enter the castle wall there are public toilets.
,Fresh WaterGrey WaterBlack WaterTrash,€0.00,40.873924,0.155804,Rest Area & Services,Free aire.  Loose gravel and flat.  Clean service areA with easy access.  Right on the river bank and at the beginning of the old town.
,Trash,€0.00,41.053237,-0.127422,Mixed Parking,On street parking with no restrictions.  This small side street is quiet and just at the beginning of the town.  Probably about 10 minutes walk via Mercadona lift (takes you up the side of the rock to old town).
,Trash,€0.00,41.303621,-0.751698,Mixed Parking,Small car park in between old and new town.  Flat concrete and quiet. 
,TrashFresh Water,€0.00,41.656727,-0.863597,Mixed Parking,On street parking inquirer residential area with main attractions close by.  Lidl just around the corner and child play area with fresh water tap and rubbish bin.
,,€0.00,36.736363,-5.250036,Mixed Parking,"Small village close to gorge and damn.  Great place limestone formation.  Parking limited to the main street due to access and steep roads.  Flat, level, Tarmac and relatively quiet. "
,,€0.00,36.751154,-5.16781,Mixed Parking,"Flat, hard surface car park located next to apartment block and one block away from Aldi.  Off the Main Street, so quiet in the evenings.  Ronda has lots of on vertical road parking but very few horizontal, so whilst not a great view very practical and within easy walking distance of the twin and main sites. "
,,€0.00,36.862712,-5.17562,Mixed Parking,Street parking at side of the river.  Flat and quiet with no parking restrictions.  Within easy walking distance of the town and main attractions.  
,Trash,€0.00,36.855861,-4.821177,Mixed Parking,"Hard, flat surface overlooking hills, next to cemetery.  Good spot for visiting springs."
,,€0.00,36.907405,-4.760599,Wild,"Uneven surface but relatively flat.  Located right on the river over looking El Chorro, a superb location.  "
,,€0.00,41.99443,-0.680803,Wild,Loose gravel piece of land in the middle of nowhere.  Great views over the surrounding countryside and ancient acquaduct  
,TrashToiletsFresh Water,€0.00,42.143518,-0.402508,Mixed Parking,Flat and quiet road side parking at the side of the park.  Fresh water and portable toilets just at the entrance.  Good place to stay if you're visiting the town and only 5 minutes walk.
Castillo de Loarre,Fresh WaterTrashToilets,€0.00,42.327939,-0.610597,Mixed Parking,Tarmac car park but need chocs to get level.  No charge for parking and no restrictions.  Fresh water and toilet facilities at the visitor centre.
,Trash,€0.00,42.345179,-0.725923,Mixed Parking,Flat Tarmac car park with great view of the rocks.  Bar and swimming pool to the right
Monasterio de San Juan,Fresh WaterTrash,€0.00,42.507278,-0.663426,Mixed Parking,Car park located in the wooded area near to the new monestary.  Good area for shade.  Fresh water and rubbish at the picnic area.  
,Trash,€0.00,42.524371,-0.673751,Mixed Parking,"On the road parking in the little village of San Juan.  On a slope, so need chocs to get level."
,Trash,€0.00,42.565495,-0.565151,Mixed Parking,Flat Tarmac car park belonging to mercadona supermarket.  No parking restrictions and only a short walk to Jaca town.  Great views over valley and quiet.  
,Fresh Water,€0.00,42.583518,-0.322032,Wild,Loose gravel dirt track running alongside the mountain stream with excellent views of the surrounding hills.
,Trash,€0.00,42.626228,-0.32174,Mixed Parking,"Large municipal car park with no restrictions except on Saturday for local market.  Flat, loose gravel surface."
,Fresh WaterGrey WaterTrashToilets,€0.00,42.623685,-0.111534,Mixed Parking,"Flat Tarmac car park.  It is the main car park and whilst it does say no sleeping in your vehicle, the police do not mind as long as you don't put out your Canary, chairs etc.  Be discrete and you are ok.  Free to park.  Park on the lower car park as better view of both the peak and the valley plus better breeze if visiting in night of summer.  "
,Trash,€0.00,58.684091,11.394309,Mixed Parking,Car park located at the bronze age museum and carvings. Two car parks - lower one gets busy but the upper is quieter and loose stone.No parking restrictions of charges.
,Fresh WaterGrey WaterTrashBlack WaterToilets,€0.00,57.863706,11.999834,Mixed Parking,Nice quiet location next to the river and the canoe club. Parking as you enter is restricted on time during June and July. You can park near the waters edge except on Thursdays when they hold antique market.Loose gravel and stone.  The small wooden hut/shelter is where you empty black and grey waste and fill up with fresh water.
,,€0.00,57.648854,11.933819,Mixed Parking,"Large car park, which is located 7km out of the city. Good place to put your head down when just arrived ferry plus located next to LPG filling station."
,,€0.00,58.940858,11.167513,Mixed Parking,Tarmac car park located on waters edge.  Parking from 9-18 and then free overnight.
,Trash,€0.00,58.268883,11.424784,Mixed Parking,"Great car park tucked in behind the rocks with excellent views over the sea. Small beach cove to the right, nice walks and town is just 5 minutes walk. Flat surface."
,ToiletsTrash,€0.00,58.599769,11.286537,Mixed Parking,Flat level car park in centre of village. Access to toilet.
,,€0.00,58.697816,11.249835,Wild,Large open space. Loose gravel with grass around the edge. No services
,,€0.00,46.184076,9.002866,Mixed Parking & Services,Motorway services with overnight parking permitted
,,€0.00,46.463099,9.187784,Mixed Parking,
,,€0.00,46.574159,9.41675,Mixed Parking & Services,
,,€0.00,47.13928,9.510316,Mixed Parking,Actually Rheinpark stadium in Lithenstein 
,,€0.00,49.411726,8.677689,Mixed Parking,"Parking area beside the river and near some houses beside the bridge, about 20 minutes walk to the castle."
